Sıra No;Kitap Adı;Yazar Adı;Özgün Adı;Çevirmen;Serideki Yayın Yılı;Tanıtım Bülteni
1;"Dune";"Frank Herbert";"Dune";"Dost Körpe";2015;"Okurlar tarafından 20. yüzyılın en iyi bilimkurgu yapıtı seçilen Dune serisi, yepyeni kapakları ve gözden geçirilmiş çevirileriyle 50. yılında İthaki'de.

Modern edebiyatın en epik mesih anlatılarından biri sayılan Dune, genç Paul Atreides'in hikâyesini anlatır. Atreides'in ailesi, evrendeki en önemli ve en değerli madde olan melanj 'baharının' tek kaynağı olarak bilinen Arrakis gezegeninin kontrolünü kabul etmiştir. İmparatorluğun güçleri Arrakis'in kontrolü için birbirlerinin boğazına sarılırken, politika, din, ekoloji, teknoloji ve insani duyguların çok katmanlı, karmaşık etkileşiminden benzersiz bir hikâye doğacaktır.

Frank Herbert'ın yarattığı evren, yıllar boyunca milyonlarca okurun zihninde gerçekliğini kabul ettirdi ve bugün de ayakta. İyi bir bilimkurgu ve iyi bir edebiyat yapıtı okumak isteyen herkesin yolu Dune serisinde birleşiyor…

İthaki'nin yepyeni ""Bilimkurgu Klasikleri"" dizisi Dune efsanesiyle başlıyor…"
2;"Kıyamete Bir Milyar Yıl";"Arkadi ve Boris Strugatsky";"Za Milliard Let Do Kontsa Sveta";"Hazal Yalın";2015;"Arkadi ve Boris Strugatski, entelektüel açıdan kışkırtıcı, inanılmaz eğlenceli, cesur ve eleştirel kitaplarıyla ""Sovyetler döneminin en büyük bilimkurgu yazarları"" sıfatını hak eden yegâne ikili. Henüz taslak halindeyken sansürün hışmına uğrayan Kıyamete Bir Milyar Yıl ise yazarların en sıradışı ve aykırı romanlarından biri.

Bir astrofizikçi olan Dimitri Malyanov, kendisine Nobel Ödülü'nü kazandıracağına inandığı projesi üzerine yoğunlaşmak için ailesini Odesa'ya, eşinin annesinin evine gönderir. Ancak bir sorun vardır; yalnız kalmasına rağmen sürekli rahatsız edilir. Önce içi votka ve havyar dolu bir kutu, ardından da mini etekli güzel bir kadın kapısında beliriverir. Bu ziyaretler, bilim insanı olan arkadaşlarının da geçerken uğramasıyla sonu gelmez bir hal alır. Hepsi de çok büyük bir keşfin eşiğinde olduklarını ama aniden dikkatlerinin dağıldığını iddia etmektedir.

Acaba karanlık bir güç, bilimsel gelişmeleri engellemek mi istemektedir? Yoksa tüm bunların daha doğal bir açıklaması mı vardır? Kıyamete Bir Milyar Yıl, edebiyatın ""Sorun sende değil, kâinatta!"" deme biçimi."
3;"Maymunlar Gezegeni";"Pierre Boulle";"La Planete des Singes";"S. İpek Ortaer Montanari";2015;"Pierre Boulle, Avrupa'dan çıkıp yazdığı bilimkurgu romanıyla vahşi batılı meslektaşlarıyla baş edebilen ilk, belki de son frankofon. Maymunlar Cehennemi ve diğer sinema uyarlamalarına da ilham kaynağı olan Maymunlar Gezegeni ise, insanlığın en derin korkularından birinin eşsiz anlatısı.

Çok da uzak olmayan bir gelecekte üç uzay gezgini; verimli ormanları, yaşanabilir iklimi ve temiz havasıyla Dünya'ya fazlasıyla benzeyen bir gezegene iniş yapar. Bu gezegen her yönüyle kusursuz gözükse de aslında hiçbir şey göründüğü gibi değildir. Gerçek, çok geçmeden açığa çıkar: Bu gezegende insanlar vahşiyken, uygar maymunlar onların efendileridir. Henüz maceranın başında yol arkadaşlarından kopup tek başına mücadele etmek zorunda kalan Ulysse Mérou, bu cennet görünümlü cehennemden kurtulmanın yollarını tek başına bulmak zorundadır.

Ulysse, insanlığın kurtarıcısı olmayı başarabilecek mi? Yoksa bu lanetli geleceğin son tanığı mı olacak? Maymunlar Gezegeni, insanlar gezegeninden daha insani bir satir."
4;"Cesur Yeni Dünya";"Aldous Huxley";"Brave New World";"Ümit Tosun";2015;"Cesur yeni Dünya bizi 'Ford'dan sonra 632 yılına' götürür. Bu dünyanın cesur insanları kapısında ""Cemaat, Özdeşlik, İstikrar"" yazan Londra Merkez kuluçka ve Şartlandırma Merkezi'nde üretilirler. Kadınların döllenmesi yasak ve ayıp olduğu için, 'annelik' ve 'babalık' pornografik birer kavram olarak görülür. Toplumsal istikrarın temel güvencesi olan şartlandırma hipnopedya uykuda eğitim ile sağlanır. Hipnopedya sayesinde herkes mutludur; herkes çalışır ve herkes eğlenir. ""Herkes herkes içindir.""

Aldous Huxley adını en çok Cesur Yeni Dünya ile duyurmuştur. Bilimkurgu edebiyatının klasikleri arasında yer alan bu eser, Huxley""in dünya ölçüsünde tanınmasının yolunu açmıştır. Yazar bu romanında, laboratuvarlarda ""seri çocuk üretimi' yöntemiyle beyinleri yıkanan tutsak işçilerin hayatını anlatmaktadır. Düşlenen yakın geleceğin korkunç dünyasının gerçekleşeceği varsayımından hareket edilir. Makinalaşmış bir toplumun bir zaman sonra kurulacağını söyler. Burada bilimkurgudan öte bir gerçekle de yüzleşiriz adeta..."
5;"Çocukluğun Sonu";"Arthur C. Clarke";"Childhood's End";"Ekin Odabaş";2015;"Bilinmeyenin korkusu, geçmişten değil de gelecekten kalma bir hatıra olabilir mi?1953'te yayımlanan Çocukluğun Sonu, Arthur C. Clarke'ın bir bilimkurgu yazarı olarak tanınmasını sağlayan, yirminci yüzyıla damga vuran önemli romanlardan biri. 2015'te televizyona uyarlanarak dizi haline getirilen ve bilimkurgu takipçileri için yeniden gündeme gelen bu eserin gücü, insanlığın geleceğine dair en özgün ve düşündürücü yorumlardan birini sergilemesinde gizli.

Dünya üzerindeki uygarlığımızın kaderini, insan neslinin akıbetini irdeleyen Çocukluğun Sonu, ters köşeye yatıran bir ""öteki"" anlatısı, farklı bir uzaylı istilası öyküsü, ütopya ve distopya arasındaki ince çizgiye dair, kalın harflerle tarihe geçen bir bilimkurgu klasiği…"
6;"Dr. Moreau'nun Adası";"H.G. Wells";"The Island of Dr. Moreau";"Ali Kaftan";2016;"Edward Prendick, geçirdiği bir gemi kazası sonucunda kendisini Pasifik Okyanus'nun ortasında, kimselerin uğramadığı volkanik bir adada bulur. Ama şansına, ada pek ıssız sayılmaz: Kendisini deneylerine adamış bir bilim adamı olan Dr. Moreau, alkolik asistanı Montgomery, onun tuhaf hizmetkarı M'ling ve Moreau'nun korkunç deneylerinin ürünü tuhaf yaratıklar. Prendick, adanın içindeki ormanlarda pusu kuran tehlikelerin arasında çıktığı yolculuklarda garip ayinlerle, Kanun'la karşılaşacak, yeni ve tuhaf arkadaşlar edinecektir.

Bilimkurgunun büyük ustalarından H.G. Wells'ten, doğayla oyuna girişmenin tehlikelerinin ve insan olmanın anlamını sorgulayan, çarpıcı bir başyapıt."
7;"Dune Mesihi";"Frank Herbert";"Dune Messiah";"Dost Körpe";2016;"Bir edebiyat klasiği olan, dünyanın en çok satan bilimkurgu serisi muhteşem Dune efsanesi, ikinci kitabı Dune Mesihi'yle macerasına devam ediyor. Paul Muad'dib, gezegenlerin hakimi, kutsal savaşın görkemli galibi, prensken devrimci olan bir lider, fanatik bir dini kardeşliğin mesihi…

Fremenlerin başına geçip Dune adıyla bilinen Arrakis gezegenini kontrol etmeye başlamakla kalmayıp evrenin hükümdarı olan Paul, çağlar süren bir düzene son vermiş, bir halkın kurtuluşu olmuş ve bir gezegenin en büyük ütopyasını gerçekleştirmeye ant içmiştir. Ancak zaferinden on iki yıl sonra, tüm bu güçlere sahip olmasının sebebi olan etkenler onun için bir tehlikeye dönüşür. Paul ise öngörülerine rağmen, felaket getireceğini düşündüğü geleceği değiştirmeye kararlıdır."
8;"Işık Tanrısı";"Roger Zelazny";"Lord of Light";"Sönmez Güven";2016;"Roger Zelazny, farklı pek çok mitolojiyi bilimkurgu romanlarına uyarlamasıyla pek çok yazarın yalnızca hayal edebildiği bir şeyi alışkanlık haline getirmiş eşsiz bir yazar. Hint mitolojisiyle harmanlanan Işık Tanrısı ise sadece bilimkurguyu değil, tüm spekülatif kurguyu değiştiren, benzersiz bir roman. Gaiman'ın en iyi romanı olarak kabul edilen Amerikan Tanrıları'na fikir babalığı yapmakla kalmamış, tanrılar ve insanlar arasındaki isim oyunlarına da ilham kaynağı olmuştur. Martin'in epik serisi Buz ve Ateşin Şarkısı'ndaki Işık Tanrısı da ismini bu romandan alır, tıpkı Sam Tarly'nin ismini bu romanın başkahramanı Sam'den aldığı gibi.

Dünya yok olalı çok uzun bir süre olmuştur. Kolonileşmiş bir gezegendeki tüm teknolojik gücü ele geçiren insanlar ise kendilerini ölümsüz kılmış ve Hint tanrılarının rolünü üstlenerek o gezegenin kontrolünü ele geçirmiştir. Ancak bu kötü niyetli topluluğa karşı çıkacak biri vardır: Siddhartha ya da Mahasamatman; nam-ı diğer Işık Tanrısı.

Işık Tanrısı, tanrılaşmış insanlara tanrısal bir müdahale."
9;"Yıkım'a Giden Adam";"Alfred Bester";"The Demolished Man";"Barış Tanyeri";2016;"24. yüzyılda, evrenin en güçlü adamlarından biri olan Ben Reich, yetmiş yıldır adı bile duyulmamış bir suç işlemeye karar verir: Cinayet. Esper adı verilen zihin okuyucuların, daha düşünce halindeyken suçları engellediği bu dünyada, Reich'ın amacına ulaşması neredeyse imkânsızdı. Hükümdarlık adındaki şirketinin, rakip şirket D'Courtney'le girdiği mücadeleyi büyük ölçüde kaybetmesinin ardından başka bir çaresi kalmadığını düşünen Reich, bir yandan da kâbuslarında asıl korkusu Yüzü Olmayan Adam'la uğraşıyordu. Tüm bunlara rağmen Ben Reich pes etmemeye kararlıydı. Aklında yıkımla, Yıkım'a hazırlandığının farkında değildi.

Yıkıma Giden Adam, galaksinin içimizdeki megalomana verdiği çarpıcı bir yanıt."
10;"Yıldız Gemisi Askerleri";"Robert A. Heinlein";"Starship Troopers";"Öznur Özkaya";2016;"Yayımlandığından itibaren tartışmalar yaratan Yıldız Gemisi Askerleri ilk kez Türkçede. Asimov ve Clarke'la birlikte bilimkurgunun üç büyük ustasından biri olarak görülen, bilimkurgunun dekanı Heinlein'dan vatanseverliğe, militarizme, oy hakkına ve savaşa dair en coşkulu anlatılardan biri olan bu klasik eser, muzip üslubuyla da fark yaratıyor.

""Silahlar tehlikeli değildir; insanlar tehlikelidir.""

İnsanoğlunun başka gezegenlerde koloniler kurduğu ve karşılarına çıkan rakip türlerle savaştığı bir gelecek zaman. Ve Ordu'da iki yıl gönüllü askerlik yapanların vatandaş olup oy kullanabildiği Terra Federasyonu. On sekiz yaşındaki Juan Rico, vatandaşlık hakkını kazanmak (ve bir de çok sevdiği uzayda seyahat etmek için) iki yıl süren askerlik hizmetine yazıldığında ne Rasczak'ın Bıçkınları'ndan biri olacağını ne de 'Böcek Savaşı'nda müfreze liderliği yapmak zorunda kalacağını biliyordu. Ama öğrenecekti…"
